v-sweep,v(Vout),v(V1),v(V2),I(V3)
0.47,0.9,0.47,0.5,-1.82930386E-07
0.471,0.9,0.471,0.5,-1.77035183E-07
0.472,0.9,0.472,0.5,-1.7111503E-07
0.473,0.9,0.473,0.5,-1.65170935E-07
0.474,0.9,0.474,0.5,-1.59203687E-07
0.475,0.9,0.475,0.5,-1.53214206E-07
0.476,0.9,0.476,0.5,-1.47203401E-07
0.477,0.9,0.477,0.5,-1.41172144E-07
0.478,0.9,0.478,0.5,-1.35121322E-07
0.479,0.9,0.479,0.5,-1.29051827E-07
0.48,0.9,0.48,0.5,-1.229646E-07
0.481,0.9,0.481,0.5,-1.16860441E-07
0.482,0.9,0.482,0.5,-1.10740274E-07
0.483,0.9,0.483,0.5,-1.0460499E-07
0.484,0.9,0.484,0.5,-9.84555122E-08
0.485,0.9,0.485,0.5,-9.22927121E-08
0.486,0.9,0.486,0.5,-8.61174918E-08
0.487,0.9,0.487,0.5,-7.99307323E-08
0.488,0.9,0.488,0.5,-7.37332897E-08
0.489,0.9,0.489,0.5,-6.7526102E-08
0.49,0.9,0.49,0.5,-6.13100326E-08
0.491,0.9,0.491,0.5,-5.50860193E-08
0.492,0.9,0.492,0.5,-4.88549325E-08
0.493,0.9,0.493,0.5,-4.26176499E-08
0.494,0.9,0.494,0.5,-3.63750736E-08
0.495,0.9,0.495,0.5,-3.01280849E-08
0.496,0.9,0.496,0.5,-2.38775613E-08
0.497,0.9,0.497,0.5,-1.76244193E-08
0.498,0.9,0.498,0.5,-1.1369572E-08
0.499,0.9,0.499,0.5,-5.11389686E-09
0.5,0.9,0.5,0.5,1.14174981E-09
0.501,0.9,0.501,0.5,7.39644079E-09
0.502,0.9,0.502,0.5,1.36493128E-08
0.503,0.9,0.503,0.5,1.98994989E-08
0.504,0.9,0.504,0.5,2.61460187E-08
0.505,0.9,0.505,0.5,3.23880904E-08
0.506,0.9,0.506,0.5,3.86247976E-08
0.507,0.9,0.507,0.5,4.48551845E-08
0.508,0.9,0.508,0.5,5.1078473E-08
0.509,0.9,0.509,0.5,5.72937111E-08
0.51,0.9,0.51,0.5,6.35000248E-08
0.511,0.9,0.511,0.5,6.96965543E-08
0.512,0.9,0.512,0.5,7.58824186E-08
0.513,0.9,0.513,0.5,8.20567152E-08
0.514,0.9,0.514,0.5,8.82185951E-08
0.515,0.9,0.515,0.5,9.43671665E-08
0.516,0.9,0.516,0.5,1.00501516E-07
0.517,0.9,0.517,0.5,1.06620828E-07
0.518,0.9,0.518,0.5,1.1272423E-07
0.519,0.9,0.519,0.5,1.18810814E-07
0.52,0.9,0.52,0.5,1.24879808E-07
0.521,0.9,0.521,0.5,1.30930161E-07
0.522,0.9,0.522,0.5,1.36961173E-07
0.523,0.9,0.523,0.5,1.42971938E-07
0.524,0.9,0.524,0.5,1.48961561E-07
0.525,0.9,0.525,0.5,1.54929229E-07
0.526,0.9,0.526,0.5,1.60874023E-07
0.527,0.9,0.527,0.5,1.66795164E-07
0.528,0.9,0.528,0.5,1.72691728E-07
0.529,0.9,0.529,0.5,1.78562871E-07
0.53,0.9,0.53,0.5,1.84407821E-07
0.531,0.9,0.531,0.5,1.90225599E-07
0.532,0.9,0.532,0.5,1.96015467E-07
0.533,0.9,0.533,0.5,2.01776512E-07
0.534,0.9,0.534,0.5,2.07507941E-07
0.535,0.9,0.535,0.5,2.13208878E-07
