time,v(Vout),v(V1)
4.675E-08,0.502141515,0.51
4.685E-08,0.50214431,0.51
4.695E-08,0.502147107,0.51
4.705E-08,0.502149906,0.51
4.715E-08,0.502152706,0.51
4.725E-08,0.502155507,0.51
4.735E-08,0.50215831,0.51
4.745E-08,0.502161113,0.51
4.755E-08,0.502163918,0.51
4.765E-08,0.502166725,0.51
4.775E-08,0.502169532,0.51
4.785E-08,0.502172341,0.51
4.795E-08,0.50217515,0.51
4.805E-08,0.502177961,0.51
4.815E-08,0.502180773,0.51
4.825E-08,0.502183586,0.51
4.835E-08,0.5021864,0.51
4.845E-08,0.502189215,0.51
4.855E-08,0.502192031,0.51
4.865E-08,0.502194848,0.51
4.875E-08,0.502197665,0.51
4.885E-08,0.502200484,0.51
4.895E-08,0.502203303,0.51
4.905E-08,0.502206123,0.51
4.915E-08,0.502208944,0.51
4.925E-08,0.502211766,0.51
4.935E-08,0.502214588,0.51
4.945E-08,0.502217412,0.51
4.955E-08,0.502220235,0.51
4.965E-08,0.50222306,0.51
4.975E-08,0.502225885,0.51
4.985E-08,0.502228711,0.51
4.995E-08,0.502231537,0.51
5.005E-08,0.502234364,0.51
5.015E-08,0.502237192,0.51
5.025E-08,0.50224002,0.51
5.035E-08,0.502242848,0.51
5.045E-08,0.502245677,0.51
5.055E-08,0.502248506,0.51
5.065E-08,0.502251336,0.51
5.075E-08,0.502254166,0.51
5.085E-08,0.502256997,0.51
5.095E-08,0.502259828,0.51
5.105E-08,0.502262659,0.51
5.115E-08,0.502265491,0.51
5.125E-08,0.502268323,0.51
5.135E-08,0.502271155,0.51
5.145E-08,0.502273987,0.51
5.155E-08,0.50227682,0.51
5.165E-08,0.502279653,0.51
5.175E-08,0.502282486,0.51
5.185E-08,0.502285319,0.51
5.195E-08,0.502288153,0.51
5.205E-08,0.502290986,0.51
5.215E-08,0.50229382,0.51
5.225E-08,0.502296654,0.51
5.235E-08,0.502299487,0.51
5.245E-08,0.502302321,0.51
5.255E-08,0.502305155,0.51
5.265E-08,0.502307989,0.51
