 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 1.17000000e+00  3.49450640e-09  0.00000000e+00  1.17000000e+00  0.00000000e+00 
 1.18000000e+00  3.49571316e-09  0.00000000e+00  1.18000000e+00  0.00000000e+00 
 1.19000000e+00  3.49692758e-09  0.00000000e+00  1.19000000e+00  0.00000000e+00 
 1.20000000e+00  3.49814964e-09  0.00000000e+00  1.20000000e+00  0.00000000e+00 
 1.21000000e+00  3.49937945e-09  0.00000000e+00  1.21000000e+00  0.00000000e+00 
 1.22000000e+00  3.50061704e-09  0.00000000e+00  1.22000000e+00  0.00000000e+00 
 1.23000000e+00  3.50186246e-09  0.00000000e+00  1.23000000e+00  0.00000000e+00 
 1.24000000e+00  3.50311574e-09  0.00000000e+00  1.24000000e+00  0.00000000e+00 
 1.25000000e+00  3.50437689e-09  0.00000000e+00  1.25000000e+00  0.00000000e+00 
 1.26000000e+00  3.50564606e-09  0.00000000e+00  1.26000000e+00  0.00000000e+00 
 1.27000000e+00  3.50692320e-09  0.00000000e+00  1.27000000e+00  0.00000000e+00 
 1.28000000e+00  3.50820845e-09  0.00000000e+00  1.28000000e+00  0.00000000e+00 
 1.29000000e+00  3.50950192e-09  0.00000000e+00  1.29000000e+00  0.00000000e+00 
 1.30000000e+00  3.51080377e-09  0.00000000e+00  1.30000000e+00  0.00000000e+00 
 1.31000000e+00  3.51211408e-09  0.00000000e+00  1.31000000e+00  0.00000000e+00 
 1.32000000e+00  3.51343313e-09  0.00000000e+00  1.32000000e+00  0.00000000e+00 
 1.33000000e+00  3.51476139e-09  0.00000000e+00  1.33000000e+00  0.00000000e+00 
 1.34000000e+00  3.51609912e-09  0.00000000e+00  1.34000000e+00  0.00000000e+00 
 1.35000000e+00  3.51744718e-09  0.00000000e+00  1.35000000e+00  0.00000000e+00 
 1.36000000e+00  3.51880658e-09  0.00000000e+00  1.36000000e+00  0.00000000e+00 
 1.37000000e+00  3.52017882e-09  0.00000000e+00  1.37000000e+00  0.00000000e+00 
 1.38000000e+00  3.52156609e-09  0.00000000e+00  1.38000000e+00  0.00000000e+00 
 1.39000000e+00  3.52297168e-09  0.00000000e+00  1.39000000e+00  0.00000000e+00 
 1.40000000e+00  3.52440031e-09  0.00000000e+00  1.40000000e+00  0.00000000e+00 
 1.41000000e+00  3.52585900e-09  0.00000000e+00  1.41000000e+00  0.00000000e+00 
 1.42000000e+00  3.52735824e-09  0.00000000e+00  1.42000000e+00  0.00000000e+00 
 1.43000000e+00  3.52891322e-09  0.00000000e+00  1.43000000e+00  0.00000000e+00 
 1.44000000e+00  3.53054658e-09  0.00000000e+00  1.44000000e+00  0.00000000e+00 
 1.45000000e+00  3.53229159e-09  0.00000000e+00  1.45000000e+00  0.00000000e+00 
 1.46000000e+00  3.53419715e-09  0.00000000e+00  1.46000000e+00  0.00000000e+00 
 1.47000000e+00  3.53633532e-09  0.00000000e+00  1.47000000e+00  0.00000000e+00 
 1.48000000e+00  3.53881237e-09  0.00000000e+00  1.48000000e+00  0.00000000e+00 
 1.49000000e+00  3.54178406e-09  0.00000000e+00  1.49000000e+00  0.00000000e+00 
 1.50000000e+00  3.54547939e-09  0.00000000e+00  1.50000000e+00  0.00000000e+00 
 1.51000000e+00  3.55023445e-09  0.00000000e+00  1.51000000e+00  0.00000000e+00 
 1.52000000e+00  3.55654143e-09  0.00000000e+00  1.52000000e+00  0.00000000e+00 
 1.53000000e+00  3.56512096e-09  0.00000000e+00  1.53000000e+00  0.00000000e+00 
 1.54000000e+00  3.57702565e-09  0.00000000e+00  1.54000000e+00  0.00000000e+00 
 1.55000000e+00  3.59379088e-09  0.00000000e+00  1.55000000e+00  0.00000000e+00 
 1.56000000e+00  3.61765127e-09  0.00000000e+00  1.56000000e+00  0.00000000e+00 
 1.57000000e+00  3.65185107e-09  0.00000000e+00  1.57000000e+00  0.00000000e+00 
 1.58000000e+00  3.70108708e-09  0.00000000e+00  1.58000000e+00  0.00000000e+00 
 1.59000000e+00  3.77213693e-09  0.00000000e+00  1.59000000e+00  0.00000000e+00 
 1.60000000e+00  3.87474300e-09  0.00000000e+00  1.60000000e+00  0.00000000e+00 
 1.61000000e+00  4.02284747e-09  0.00000000e+00  1.61000000e+00  0.00000000e+00 
 1.62000000e+00  4.23630039e-09  0.00000000e+00  1.62000000e+00  0.00000000e+00 
 1.63000000e+00  4.54319533e-09  0.00000000e+00  1.63000000e+00  0.00000000e+00 
 1.64000000e+00  4.98302217e-09  0.00000000e+00  1.64000000e+00  0.00000000e+00 
 1.65000000e+00  5.61085869e-09  0.00000000e+00  1.65000000e+00  0.00000000e+00 
 1.66000000e+00  6.50284654e-09  0.00000000e+00  1.66000000e+00  0.00000000e+00 
 1.67000000e+00  7.76320567e-09  0.00000000e+00  1.67000000e+00  0.00000000e+00 
 1.68000000e+00  9.53302336e-09  0.00000000e+00  1.68000000e+00  0.00000000e+00 
 1.69000000e+00  1.20010007e-08  0.00000000e+00  1.69000000e+00  0.00000000e+00 
 1.70000000e+00  1.54162603e-08  0.00000000e+00  1.70000000e+00  0.00000000e+00 
 1.71000000e+00  2.01032146e-08  0.00000000e+00  1.71000000e+00  0.00000000e+00 
 1.72000000e+00  2.64784106e-08  0.00000000e+00  1.72000000e+00  0.00000000e+00 
 1.73000000e+00  3.50692487e-08  0.00000000e+00  1.73000000e+00  0.00000000e+00 
